# file...... outputs/house_output.csv
# date...... Fri May  3 12:31:31 2019
# user...... keegan
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b1m1_house:total_load, b1m5_house:total_load, b2m3_house:total_load, b2m5_house:total_load, b3m1_house:total_load, b3m5_house:total_load
2013-07-01 08:00:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:01:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:02:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:03:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:04:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:05:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:06:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:07:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:08:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:09:00 PDT,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228,+1.04951780228
2013-07-01 08:10:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:11:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:12:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:13:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:14:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:15:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:16:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:17:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:18:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:19:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:20:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:21:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:22:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:23:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:24:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:25:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:26:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:27:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:28:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
2013-07-01 08:29:00 PDT,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211,+1.07961029211
